Age,Gender,Experience_Years,Year_Salary,Bonus_Stocks,Vacation_Days,Work_Language,Company_Type,Fired_By_Corona
26,Male,5,80000,5000,30,English,Product,No
26,Male,7,80000,0,28,English,Product,No
29,Male,12,120000,120000,30,English,Product,Yes
28,Male,4,54000,0,24,English,Startup,No
37,Male,17,62000,0,29,English,Product,No
32,Male,5,76000,5000,30,English,Startup,No
37,Male,6,57000,0,24,English,Product,No
24,Male,5,65000,0,27,English,Product,No
29,Male,8,56000,0,28,English,Product,No
35,Male,15,95000,0,30,English,Product,No
32,Female,2,52500,0,30,German,Consulting / Agency,No
34,Male,14,70000,0,28,English,Startup,No
28,Male,11,75000,9400,30,English,Product,Yes
31,Male,5,75000,2000,25,English,Consulting / Agency,No
41,Male,18,78000,0,28,English,Startup,Yes
27,Male,8,60000,0,25,English,Product,No
34,Male,11,80000,80000,28,English,Product,No
34,Male,15,100000,0,24,English,Product,No
25,Male,5,65000,0,28,German,Product,No
59,Male,30,69000,0,28,German,Product,No
36,Male,17,70000,0,28,English,Product,No
38,Male,18,80000,4000,28,English,Product,Yes
24,Male,6,75000,10000,27,English,Product,No
37,Male,6,47400,1000,28,German,Media,No
40,Male,13,70000,0,28,English,Product,No
29,Male,6,85000,5000,28,English,Product,No
31,Male,5,65000,0,28,English,Startup,No
29,Female,7,45000,2000,26,English,Startup,No
39,Male,8,80000,0,29,English,Startup,No
27,Male,8,63000,101,24,English,Product,No
33,Male,5,150000,80000,24,English,Product,No
28,Female,7,45000,0,28,German,Product,No
30,Male,8,80000,0,28,English,Product,No
28,Male,5,75000,0,25,English,Startup,No
38,Male,10,70000,0,30,English,Startup,No
29,Male,7,72000,12000,27,English,Product,No
49,Male,15,67000,1500,29,German,Product,No
32,Male,10,105000,0,60,English,Product,Yes
30,Male,6,74000,15000,27,English,Product,No
48,Male,25,75000,0,28,English,Product,No
28,Female,5,60000,0,20,English,Product,No
32,Male,3,77000,0,30,English,Product,No
38,Female,12,70000,8000,28,English,Product,No
31,Male,7,76000,10000,27,English,Startup,No
35,Male,10,75000,0,30,English,Product,No
28,Female,7,45000,0,28,German,Product,No
29,Female,8,60000,0,28,English,Startup,Yes
32,Male,8,65000,0,30,English,Product,No
44,Male,12,68000,0,26,English,Product,No
35,Male,11,65000,5000,29,German,Product,No
29,Male,5,75000,0,30,English,Product,No
66,Male,40,70000,0,30,German,Product,No
39,Female,10,70500,1000,30,German,Consulting / Agency,No
28,Male,5,72000,0,28,English,Product,No
34,Male,5,73500,0,27,English,Product,No
34,Male,13,72000,72000,30,English,Product,No
32,Male,7,62000,0,30,German,Consulting / Agency,No
32,Male,10,110000,30000,30,English,Consulting / Agency,No
45,Male,26,93000,10000,30,German,Product,No
28,Male,3,55000,0,22,English,Startup,No
29,Male,6,53000,0,26,English,Startup,No
36,Male,15,55000,0,28,English,Product,No
39,Male,10,75000,0,30,German,Consulting / Agency,No
29,Male,7,80000,5000,24,English,Product,No
31,Male,11,80000,0,27,English,Startup,No
30,Male,5,55000,0,27,English,Product,No
30,Male,8,70200,75000,30,English,Product,No
33,Male,4,50000,0,24,English,Consulting / Agency,No
27,Male,5,78000,0,30,English,Startup,No
26,Female,6,60000,10000,26,English,Product,No
26,Male,8,85000,0,28,English,Product,No
31,Female,6,60000,0,27,English,Startup,No
30,Male,10,72000,0,28,English,Product,No
38,Male,17,68500,30000,25,English,Product,No
43,Male,5,72000,0,30,English,Product,No
33,Male,5,65000,0,30,English,Product,No
31,Male,9,60000,0,25,English,Startup,No
32,Female,10,61000,0,30,English,Product,No
24,Male,4,73000,73000,24,English,Startup,No
29,Male,7,78000,10000,28,English,Product,No
29,Male,4,81000,0,29,English,Product,No
30,Male,5,75000,10000,30,English,Product,No
35,Female,3,55000,3000,31,German,Product,No
27,Female,6,50000,0,28,English,Product,No
32,Female,8,55000,0,27,German,Consulting / Agency,No
33,Male,5,60000,0,30,English,Product,No
28,Male,8,80000,0,30,English,Product,No
31,Female,14,80000,0,30,German,Product,No
32,Male,7,60000,0,38,English,Product,No
30,Male,8,80000,0,25,English,Product,No
26,Male,7,78000,4000,27,English,Product,No
31,Male,10,68000,0,30,English,Product,No
38,Female,6,62000,0,26,English,Product,No
37,Male,10,55000,0,26,English,Startup,No
25,Male,3,62000,0,30,English,Product,No
36,Male,12,72000,0,26,English,Startup,No
27,Male,5,58000,5800,30,English,Product,No
35,Male,12,120000,30000,30,English,Product,No
37,Male,15,75000,0,30,German,Product,No
26,Male,3,65000,7000,30,English,Product,No
33,Male,6,85000,40000,28,English,Product,No
34,Male,7,65000,0,25,English,Startup,No
33,Male,12,65000,0,27,English,Product,No
29,Male,8,72000,0,25,English,Startup,No
24,Male,5,79000,56000,30,English,Product,No
28,Female,6,65000,3000,25,English,Product,No
30,Female,8,75000,0,35,English,Product,No
28,Male,8,60000,12000,28,English,Consulting / Agency,No
31,Male,11,80000,4000,30,English,Product,No
28,Male,5,57000,8000,30,English,Product,No
32,Female,10,49000,0,30,English and German,Product,No
28,Male,6,65000,75000,28,English,Startup,No
26,Female,3,70000,12000,28,English,Product,No
33,Male,6,63000,6300,28,English,Product,No
41,Male,18,72000,0,30,English,Product,No
31,Male,9,60000,6000,25,English,Startup,No
30,Male,6,75000,101,28,English,Product,No
31,Male,8,70000,101,24,English,Startup,No
37,Male,12,62000,5000,28,English,Product,No
34,Male,17,120000,20000,32,German,Consulting / Agency,No
25,Male,5,75000,5000,24,English,Product,No
36,Male,19,69000,0,28,English,Product,No
40,Male,7,54000,0,24,English,Product,No
37,Male,6,62000,62000,30,German,Product,No
35,Male,13,80000,1500,40,English,Product,No
42,Male,20,80000,0,27,German,Product,No
34,Male,10,75000,3000,28,English,Startup,No
30,Male,6,75000,75000,30,English,Product,No
35,Male,12,70000,22000,25,English,Product,No
34,Male,10,120000,40000,30,English,Cloud,No
35,Male,10,70000,0,25,English,Product,No
35,Male,14,44000,0,27,English,Startup,No
28,Male,7,80000,5000,30,English,Product,No
26,Male,5.5,48000,2000,26,German,Product,No
35,Male,4,50000,5000,28,English,Product,No
31,Female,7,68000,0,30,English,Product,No
35,Male,12,66000,0,25,German,Consulting / Agency,No
28,Male,3,51000,1500,27,English,Product,No
25,Male,4,60000,0,24,English,Startup,No
42,Female,20,55000,0,30,English,Product,No
30,Male,7,150000,0,25,English,Startup,No
40,Female,20,54000,0,30,German,Behörde,No
36,Female,14,62000,0,30,English,Product,No
37,Male,8,60000,0,28,English,Product,No
33,Male,10,75000,7500,30,English,Product,No
38,Male,11,55000,0,26,English,Product,No
27,Male,4,60000,0,28,English,Product,No
33,Male,7,62000,67000,30,English,Consulting / Agency,No
34,Male,12,77500,7750,25,English,Consulting / Agency,No
36,Female,5,60000,5000,28,English,Product,No
42,Male,22,70000,0,24,English,Startup,No
32,Male,10,68500,6000,25,English,Product,No
31,Male,10,71060,101,28,English,Startup,No
33,Female,6,60000,0,28,English,Startup,No
40,Male,10,100000,0,24,English,Product,No
28,Male,6,70000,2000,30,English,Consulting / Agency,No
31,Male,9,90000,0,30,English,Product,No
28,Male,5,70800,0,28,English,Consulting / Agency,No
29,Male,8,55000,0,24,English,Startup,No
40,Male,25,85000,5000,30,English,Product,No
46,Male,13,70000,8500,28,German,Product,No
33,Male,5,66000,70000,30,English,Product,No
33,Male,10,62000,0,28,English,Startup,No
34,Male,14,95000,5000,30,English,Product,No
36,Male,18,65000,70000,26,English,Product,No
33,Female,8,50000,0,24,English,Startup,Yes
32,Male,11,80000,0,28,English,Product,No
46,Male,14,80000,0,30,English,Product,Yes
30,Male,8,66000,0,30,English,Product,No
31,Male,10,115000,70000,28,English,Product,No
46,Male,12,85000,10000,30,German,Product,No
26,Male,6,70000,0,30,English,Product,No
31,Male,10,45000,0,30,English,Product,Yes
31,Male,12,85000,3000,29,English,Startup,No
30,Female,5,50000,4000,30,German,Product,No
35,Male,13,140000,6000,28,English,Consulting / Agency,No
33,Male,12,120000,0,28,English,Product,No
36,Male,7,42000,0,25,English and German,Product,No
36,Male,12,105000,25000,28,English,Product,No
40,Male,13,77000,101,30,English,Product,No
38,Male,6,68000,12000,30,English,Product,No
35,Female,15,76000,0,30,German,Product,No
32,Male,9,70000,4000,26,English,Product,No
29,Male,8,70000,5000,30,English,Product,No
30,Male,9,63000,0,30,German,Product,No
35,Male,10,96000,4000,30,English,Product,No
29,Male,7,64000,0,30,English,Startup,No
32,Female,10,60000,6000,30,English,Consulting / Agency,No
30,Female,10,65000,5000,30,English,Product,No
25,Male,6,61500,26000,28,English,Big commercial,No
43,Male,20,79000,0,27,English,Product,No
38,Male,16,65000,0,26,English,Product,No
26,Male,5,63000,10300,28,English,Product,No
25,Female,3,62000,0,30,English,Product,No
34,Male,12,95000,0,30,English,Product,No
34,Male,11,60000,0,28,English,Startup,No
27,Male,5,65000,0,30,English,Product,No
30,Male,3,58000,0,28,English,Startup,No
34,Male,5,65000,5000,30,English,Product,No
36,Female,14,69000,6900,30,English,Product,No
27,Male,5,65000,0,30,English,Product,No
45,Male,10,77000,2000,28,English,Product,No
35,Male,6,74000,2000,30,English,Product,No
36,Male,7,80000,95000,26,English,Product,No
32,Male,9,60000,4700,30,German,Consulting / Agency,No
33,Male,14,70000,0,30,English,Product,No
30,Male,10,56000,0,30,English,Product,No
35,Male,15,70000,0,28,English,Startup,Yes
24,Male,0.8,48000,101,30,English,Product,No
25,Male,4,60000,0,30,German,Consulting / Agency,No
29,Male,8,65000,0,26,English,Product,No
32,Male,10,100000,0,30,English,Product,No
32,Male,11,60000,62000,30,English,Consulting / Agency,No
24,Male,3,58000,18000,28,English,Consulting / Agency,No
24,Female,2,55200,2000,30,English,Consulting / Agency,No
56,Male,9,75000,0,30,German,Product,No
25,Male,1,65000,2000,30,English,Product,No
32,Male,9,95000,140000,365,English,Product,No
28,Male,8,67200,0,30,English,Outsorce,No
30,Male,7,100000,75000,30,English,Product,No
26,Female,6,65000,1000,27,English,Product,No
31,Female,4,65000,73000,30,German,Product,No
31,Male,9,92500,22500,30,English,Product,No
29,Female,6,54000,0,26,English,Product,No
33,Male,15,100000,10000,30,English,Startup,No
26,Male,1.5,58000,0,30,German,Consulting / Agency,No
30,Female,6,70000,2000,30,German,Bank ,No
34,Male,14,72000,0,26,English,Product,No
37,Male,12,90000,0,30,English,Consulting / Agency,No
38,Male,16,99000,112000,25,English,Fintech,No
28,Male,9,61200,7300,30,English,Automotive,No
35,Male,14,80000,5000,30,German,Product,No
31,Male,10,60000,77000,28,English,Product,No
29,Male,1,45000,2000,30,German,Consulting / Agency,No
39,Male,5,56000,17000,30,German,Product,No
31,Female,11,32000,0,27,English,Startup,No
29,Male,8,95000,7000,30,English,Product,No
36,Male,1,37500,0,28,German,Startup,Yes
33,Male,10,67000,0,29,English,Product,No
37,Male,15,72000,10000,36,English,Product,Yes
34,Male,7,72000,0,28,English,Startup,No
30,Male,4,42000,0,27,English,Product,No
34,Male,14,95000,10000,24,English,Startup,No
43,Male,5,64000,6000,28,English,Product,No
32,Female,2,52000,4000,30,English,Product,No
34,Male,14,60000,60000,23,English,Consulting / Agency,No
29,Male,9,85000,0,30,English,Product,No
37,Male,14,84000,0,30,English,IT Department of established business,No
41,Male,19,123600,0,33,English,Product,No
33,Male,6,49000,0,28,English,Startup,No
33,Female,9,57000,0,21,English,Startup,No
40,Male,18,78000,8000,30,German,Product,No
38,Male,12,70000,1500,30,German,Telecommunications,No
29,Male,5,57000,0,26,English,Product,No
27,Male,7,72000,15000,30,English,Product,No
39,Male,10,120000,200000,25,English,Product,No
33,Female,6.5,58000,3500,30,English,Product,No
38,Male,10,92000,101,30,English,Consulting / Agency,No
42,Male,20,80000,0,30,German,Product,No
45,Female,6,55000,0,28,English,Product,No
38,Male,12,73000,7000,30,English,Product,No
29,Male,9,62000,8000,28,English,Startup,No
30,Male,11,55000,0,30,English,Startup,No
41,Male,21,80000,0,30,English,Product,No
34,Male,10,85000,25000,28,English,Product,No
45,Male,25,75000,20000,30,German,Product,No
34,Male,6,62000,70000,28,German,Media,No
25,Male,7,60000,0,26,English,Startup,Yes
32,Male,12,66800,0,25,English,Product,No
65,Male,25,55000,0,30,German,Product,No
34,Male,12,90000,0,27,English,Product,No
28,Male,7,70000,0,30,English,Product,No
39,Male,17,64000,70000,28,English,Product,No
30,Male,7,72000,0,25,English,Product,No
34,Male,12,70000,0,25,English,Product,No
35,Male,10,63500,63500,28,English,Product,No
35,Female,12,70000,0,29,English,E-commerce,No
34,Male,10,68000,0,40,English,Startup,No
34,Male,12,78000,8000,36,German,Product,No
38,Male,13,89570,20240,30,English,Product,No
34,Female,9,78000,3000,30,English,Product,No
31,Male,7,80000,0,27,English,Product,No
34,Male,15,70000,70000,30,English,Product,No
29,Female,5,67000,5000,31,English,Product,No
37,Male,15,85000,5000,30,English,Product,No
44,Male,22,76000,0,30,English,Startup,No
30,Male,9,66000,0,30,English,Product,No
26,Male,4,65000,70000,30,German,Consulting / Agency,No
46,Male,14,80000,0,30,English,Product,Yes
27,Male,4,46000,2000,30,German,Product,No
38,Male,15,56400,0,30,English,Product,No
32,Male,11,81200,81200,30,English,Product,No
26,Male,7,65000,0,30,English,Product,No
29,Male,12,75000,75000,27,English,Product,No
32,Male,8,60000,0,30,German,Consulting / Agency,Yes
29,Male,5,55000,4000,24,English,Product,No
33,Male,10,75000,0,30,English,Product,No
32,Male,9,76000,0,28,English,Product,No
34,Male,10,76000,12000,30,English,Product,No
31,Male,2.5,20000,6500,30,Russian,Bank,No
33,Male,10,78000,0,30,German,Product,No
32,Male,4,65000,0,28,English,Product,No
47,Male,22,46000,46000,30,English,Product,No
29,Male,8,65000,0,30,English,Product,No
28,Male,5,67000,2000,20,English,Startup,Yes
25,Male,2,48000,5000,28,German,Product,No
32,Male,9,70800,5000,30,German,Consulting / Agency,No
45,Male,3,70000,0,25,Russian,Startup,Yes
26,Male,3,48000,0,27,English,Consulting / Agency,No
29,Male,8,65400,0,30,English,Consulting / Agency,No
40,Male,18,60000,0,28,English,Product,No
27,Male,5,71000,5000,30,English,Product,No
27,Male,5,65000,0,22,English,Product,No
38,Male,20,44000,0,25,German,Systemhaus,No
22,Male,3,27000,0,21,Polish,Consulting / Agency,No
30,Male,9,90000,0,30,English,Product,No
30,Male,6,60000,6000,30,English,Product,No
29,Male,8,73000,400,30,English,Product,No
37,Male,15,67500,7500,30,English,Product,No
28,Male,6,66000,122.13,27,English,Product,No
28,Female,8,80000,0,28,English,Product,No
28,Male,5,55000,5000,30,German,Product,No
33,Male,13,75000,20000,27,English,Product,No
38,Male,7,54500,0,30,German,Consulting / Agency,No
40,Male,22,72000,5000,30,German,Product,No
28,Male,9,60000,0,28,English,Startup,No
29,Male,11,85000,4000,30,English,Product,No
24,Male,3,10164,0,14,English,University,No
44,Male,28,78500,0,30,English,Product,No
35,Male,5,56000,56000,30,English,Product,No
32,Male,12,83000,500,27,English,Product,No
28,Female,4,53000,0,30,English,Consulting / Agency,No
33,Male,10,65000,0,27,English,Product,No
46,Male,10,68500,0,28,English,Startup,No
27,Male,8,45000,0,28,English,Product,No
32,Male,5,72000,0,30,English,Product,No
34,Male,15,80000,12000,28,English,Product,No
33,Male,10,68000,0,25,English,Startup,No
26,Male,4,24000,0,20,English,Consulting / Agency,No
41,Male,19,95500,14500,30,English,Product,No
35,Male,14,72000,77000,35,English,Product,No
26,Male,7,72000,0,27,German,Consulting / Agency,No
24,Male,3,77600,43500,30,English,Product,No
35,Male,13,95000,15000,25,English,Startup,No
31,Male,7,50400,50400,27,English,Product,No
30,Male,2,13000,0,28,Russian,Startup,No
37,Male,20,130000,20000,25,English,Consulting / Agency,No
30,Male,5,14712,0,30,Russian,Product,No
33,Male,5,70000,800,30,German,Product,No
35,Male,11,74400,0,30,English,Product,No
37,Male,15,70000,0,25,English,Startup,No
36,Male,10,82000,0,30,German,Product,No
32,Female,4,85000,88000,30,English,consumer goods,No
38,Male,5,80000,0,30,English,Startup,No
23,Male,4,70500,0,30,English,Product,No
39,Male,11,75000,0,30,English,Product,No
27,Female,3,58000,1000,24,English,Product,No
50,Male,29,28800,28800,30,German,IT-Outsourcing,No
35,Male,11,66000,2000,28,English,Product,No
29,Male,10,80000,0,30,English,Product,No
30,Male,8,75000,86000,24,English,Startup,No
24,Male,3,44000,3000,26,English,Product,No
28,Male,8,75000,0,28,English,Product,No
28,Male,9,60000,1000,25,English,Product,No
37,Male,8,76900,77400,26,English,Product,No
33,Male,10,85000,0,26,English,Startup,No
30,Male,8,27000,0,21,Русский,Product,No
30,Male,4,55000,0,27,English,Product,No
31,Male,4,95000,0,28,English,Startup,No
28,Female,3,60000,0,28,English,Startup,No
31,Female,2,58000,3000,28,German,Product,No
34,Male,9,72000,12,27,English,Product,No
24,Male,4,46000,0,28,English,Startup,No
39,Male,15,70000,0,21,English,Product,No
42,Male,20,75000,0,25,English,Product,No
26,Male,8,105000,60000,30,English,Startup,No
31,Female,2,50000,0,28,English,Consulting / Agency,No
32,Female,7,63000,0,26,English,Product,No
30,Female,4,52000,0,20,English,Startup,No
23,Male,3,65000,65000,25,English,Startup,No
27,Male,4,62000,62000,25,English,Product,No
29,Male,8,69000,74000,30,English,Product,No
32,Male,10,88000,120000,30,English,Product,No
31,Male,11,81000,0,28,English,Startup,No
29,Male,2,18700,19200,22,Polish,Product,No
26,Male,7,60000,5000,27,English,Startup,No
29,Male,5,56000,0,30,English,Product,No
30,Male,7,55000,0,28,English,Product,No
38,Male,10,70000,0,24,English,Product,Yes
32,Male,10,200000,200000,28,English,Product,Yes
25,Male,6,100000,20000,30,English,Product,No
24,Male,3,48000,0,28,English,Game Company,No
24,Male,3,30000,0,28,English,Product,No
27,Male,3,21120,3520,21,Czech,Product,No
34,Female,6,67500,0,30,English,Product,No
30,Male,2,48000,10000,25,English,Product,No
27,Female,2,64000,0,28,English,Startup,No
46,Male,23,90000,96000,30,German,Consulting / Agency,No
42,Female,12,47500,47500,28,German,Product,No
40,Female,8,57000,1500,26,German,Product,No
23,Male,5,45600,45600,30,English,Consulting / Agency,No
30,Male,2,50000,55000,30,English,Product,No
40,Male,11,75000,5000,30,German,Financial ,No
38,Male,10,62000,0,30,German,Product,No
28,Male,5,45000,0,20,English,Product,No
38,Male,16,83000,11000,27,English,Startup,No
32,Male,12,66300,1000,28,German,Product,No
33,Female,6,65000,0,28,English,Startup,No
34,Male,13,85000,0,32,English,Product,No
35,Female,9,60000,0,30,English,Consulting / Agency,No
37,Male,9,60000,0,30,English,Consulting / Agency,No
33,Male,10,100000,0,30,English,Product,No
36,Male,15,79300,11900,30,German,Product,No
27,Male,5,48000,0,28,English,Consulting / Agency,No
28,Male,6,60000,0,26,English,E-commerce,No
23,Male,4,34000,0,28,English,Product,No
34,Male,12,54000,0,28,English,Product,No
34,Male,10,60000,0,28,English,Product,No
29,Male,7,65000,20000,28,English,Startup,No
38,Male,15,80000,6000,30,English,Corporation,No
25,Female,4,60000,0,23,English,Startup,Yes
23,Male,3,60000,6000,30,English,Product,No
30,Male,10,75000,5000,30,English,Product,No
32,Male,10,85000,0,24,English,Product,No
28,Male,2,47000,0,26,German,Publishing and Technology,No
31,Male,4,62000,8000,30,German,Product,No
29,Male,6,56000,0,28,English,Startup,No
42,Male,17,75000,8000,28,English,Startup,No
40,Male,13,90000,10000,30,English,Product,No
27,Male,6,82000,12000,30,English,Product,No
29,Male,8,75000,0,30,English,Product,No
37,Male,18,156000,0,0,English,Startup,No
23,Male,5,53000,0,30,English,Product,No
35,Male,14,77000,0,30,English,Startup,No
39,Male,11,180000,150000,28,English,Product,No
33,Male,10,55000,0,27,German,Product,No
38,Male,15,100000,120000,27,English,Startup,No
